host_id,id,neighbourhood_cleansed,market,latitude,longitude,price,room_type,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location
24060635,4647841,Noord-Oost,Amsterdam,52.393571272000386,4.94619005712261,48.00,Private room,10,8,10,10,8
33887116,6484413,Noord-Oost,Amsterdam,52.39849008251281,4.94561165793727,125.00,Entire home/apt,10,9,10,10,9
38276545,7306822,Noord-West,Amsterdam,52.407041035938406,4.915531065398739,44.00,Private room,10,9,10,10,9
9590018,1833963,Noord-West,Amsterdam,52.416506665942606,4.87891867052098,58.00,Private room,9,10,9,9,8
7326423,9599988,Noord-West,Amsterdam,52.410766334731946,4.889243671243646,45.00,Private room,0,0,0,0,0
32276005,6223768,Noord-West,Amsterdam,52.42005888355176,4.895374748119271,89.00,Entire home/apt,10,10,10,10,9
4922720,916850,Noord-West,Amsterdam,52.40509478603962,4.903170414236014,159.00,Entire home/apt,10,10,10,10,9
6559278,5403528,Noord-West,Amsterdam,52.41965715227206,4.902989646507225,100.00,Entire home/apt,10,10,10,10,9
47328696,9074767,Noord-West,Amsterdam,52.40171500908533,4.914017728807171,70.00,Entire home/apt,0,0,0,0,0
14837629,3568357,Noord-West,Amsterdam,52.404042015417154,4.900853956913756,95.00,Entire home/apt,10,10,10,10,8
6559278,5403090,Noord-West,Amsterdam,52.421171111628325,4.901331710479738,49.00,Private room,10,10,10,10,9
1685462,8317188,Noord-West,Amsterdam,52.4036299821469,4.8997520680498186,150.00,Entire home/apt,0,0,0,0,0
14048336,2745981,Noord-West,Amsterdam,52.405406078114815,4.911130197050452,35.00,Private room,0,0,0,0,0
10892406,4208249,Noord-West,Amsterdam,52.40939641022803,4.90238907009196,64.00,Entire home/apt,8,9,9,9,8
10507416,6022379,Noord-West,Amsterdam,52.4085471522564,4.901864310808434,90.00,Entire home/apt,10,10,10,10,9
7326423,9788727,Noord-West,Amsterdam,52.413439806688984,4.883350462136807,45.00,Private room,10,8,10,10,8
22233513,4282686,Noord-West,Amsterdam,52.40716003312525,4.9148460367653115,62.00,Private room,10,9,10,10,8
12167633,9132701,Noord-West,Amsterdam,52.418199454261284,4.895403695221058,85.00,Entire home/apt,10,10,10,10,10
14623757,9424671,Noord-West,Amsterdam,52.414098656757666,4.906474718184564,139.00,Entire home/apt,10,10,10,10,9
33043121,6344463,Noord-West,Amsterdam,52.42002643712823,4.888756149512843,120.00,Entire home/apt,9,9,10,10,9
8236804,6212033,Noord-West,Amsterdam,52.40831266361912,4.904830410430274,65.00,Entire home/apt,10,10,10,10,8
11198361,3492869,Noord-West,Amsterdam,52.413433488014995,4.884816667459128,99.00,Entire home/apt,10,9,9,10,8
49478160,9555221,Noord-West,Amsterdam,52.42108395608495,4.893193410050542,77.00,Private room,0,0,0,0,0
18823161,3700218,Noord-West,Amsterdam,52.41644882082157,4.899884972129541,70.00,Private room,10,10,10,10,9
24180541,5388929,Noord-West,Amsterdam,52.410696898904085,4.893964391156387,65.00,Private room,9,10,9,10,9
517215,9910712,Noord-West,Amsterdam,52.41049724260297,4.901557301243329,68.00,Entire home/apt,0,0,0,0,0
35770841,6828574,Noord-West,Amsterdam,52.414198429717715,4.884270495699708,70.00,Entire home/apt,10,4,8,8,8
4615590,1291054,Noord-West,Amsterdam,52.42349770077537,4.888058686921706,65.00,Private room,9,9,9,10,8
11117054,5223111,Noord-West,Amsterdam,52.41727663906916,4.905429268966305,65.00,Private room,9,9,10,9,9
37470201,7156340,Noord-West,Amsterdam,52.41495164586563,4.899364464731241,75.00,Private room,10,10,10,10,10
11944049,2338618,Noord-West,Amsterdam,52.40993379371159,4.906505031978531,40.00,Entire home/apt,9,8,9,10,9
6945968,2797128,Noord-West,Amsterdam,52.406747474398465,4.923414110032056,120.00,Entire home/apt,9,9,10,10,9
29621807,5713368,Noord-West,Amsterdam,52.41133040014749,4.90464616910642,200.00,Entire home/apt,10,10,10,10,8
17314787,4630306,Noord-West,Amsterdam,52.41703033826859,4.882220657024865,75.00,Entire home/apt,9,9,9,9,8
26981073,7448083,Noord-West,Amsterdam,52.41565748402039,4.899668884969312,61.00,Entire home/apt,10,10,10,10,9
2336797,6300592,Noord-West,Amsterdam,52.4103878421073,4.90345769422496,60.00,Private room,4,2,10,10,10
11944049,4661466,Noord-West,Amsterdam,52.40902571356554,4.906504763056343,40.00,Entire home/apt,9,9,10,10,8
4615590,1383297,Noord-West,Amsterdam,52.42427530026133,4.887210760565971,200.00,Entire home/apt,0,0,0,0,0
6478595,7739393,Noord-West,Amsterdam,52.412988143862805,4.889277786939885,100.00,Entire home/apt,10,10,10,10,10
20402807,3937891,Noord-West,Amsterdam,52.413204633568284,4.885024005844777,129.00,Entire home/apt,9,9,10,10,9
4720967,889702,Noord-West,Amsterdam,52.410178082608844,4.906253052129276,65.00,Private room,6,4,7,7,8
20919943,7111455,Noord-West,Amsterdam,52.42511555976292,4.888423579037638,60.00,Private room,10,10,10,10,10
10545930,4657808,Noord-West,Amsterdam,52.4200205533402,4.892694608527361,90.00,Entire home/apt,10,8,9,10,8
46927948,8982238,Noord-West,Amsterdam,52.41340396260742,4.881382931747115,79.00,Entire home/apt,9,9,9,8,6
13270719,2592291,Noord-West,Amsterdam,52.406955582829696,4.900570237556294,130.00,Entire home/apt,9,8,9,10,9
8817734,1708244,Noord-West,Amsterdam,52.40779075545296,4.9011009103002,85.00,Private room,10,10,10,10,9
689724,4952268,Noord-West,Amsterdam,52.40619609262304,4.907385632250181,125.00,Entire home/apt,9,9,10,10,9
4781137,5312713,Noord-West,Amsterdam,52.40557812300984,4.903993066485962,85.00,Private room,10,10,10,10,10
5396559,1016999,Noord-West,Amsterdam,52.41772083826688,4.90569321162192,73.00,Private room,0,0,0,0,0
11944049,4752191,Noord-West,Amsterdam,52.41033801617976,4.908039962107901,45.00,Entire home/apt,9,9,10,9,9
32323845,8618487,Noord-West,Amsterdam,52.4090255068906,4.901030296197062,110.00,Entire home/apt,0,0,0,0,0
39995537,7624372,Noord-West,Amsterdam,52.40704476643015,4.914090318178557,75.00,Private room,10,10,10,8,8
30085493,9358665,Noord-West,Amsterdam,52.40216585111265,4.912873894243796,50.00,Private room,9,9,9,9,9
18404814,4257245,Noord-West,Amsterdam,52.40672191420352,4.902280165321463,79.00,Private room,9,10,10,10,10
33645148,6793478,Noord-West,Amsterdam,52.41218669078084,4.915148543326571,100.00,Entire home/apt,9,9,10,9,9
42564954,8378116,Noord-West,Amsterdam,52.4104534673401,4.906564529961288,40.00,Entire home/apt,7,8,9,10,9
12693120,7512251,Noord-West,Amsterdam,52.40242493123144,4.913631663903444,100.00,Entire home/apt,10,10,10,10,10
11944049,3144955,Noord-West,Amsterdam,52.41033528248949,4.9079235175493325,40.00,Entire home/apt,9,9,10,10,9
11944049,8840817,Noord-West,Amsterdam,52.41062742312808,4.9063304913674655,40.00,Entire home/apt,10,7,7,10,8
42564954,8058674,Noord-West,Amsterdam,52.409141409097074,4.907978754685674,50.00,Entire home/apt,9,9,9,10,8
17078793,3385173,Noord-West,Amsterdam,52.40942037206237,4.906514099395513,225.00,Entire home/apt,9,9,10,10,8
25578633,4961851,Noord-West,Amsterdam,52.406569490585696,4.908171581123927,112.00,Entire home/apt,9,9,9,10,9
37203380,7097981,Noord-West,Amsterdam,52.41070985994159,4.907993266299391,200.00,Entire home/apt,9,10,10,10,8
8236804,6429875,Noord-West,Amsterdam,52.40711686965244,4.90413624918011,155.00,Entire home/apt,10,10,10,10,10
9849176,2829905,Noord-West,Amsterdam,52.41089572642337,4.895938812227113,50.00,Private room,10,10,9,10,9
13270719,8694219,Noord-West,Amsterdam,52.40605139679166,4.900400920539482,82.00,Private room,0,0,0,0,0
22523750,4338297,Noord-West,Amsterdam,52.41066902828747,4.891140811885761,195.00,Entire home/apt,9,9,9,9,9
10358685,2013595,Noord-West,Amsterdam,52.41436958229927,4.8900327703074415,95.00,Entire home/apt,10,8,10,10,10
15756422,6770259,Noord-West,Amsterdam,52.41745841041692,4.899786571061315,129.00,Entire home/apt,10,10,10,10,10
33296083,7036515,Noord-West,Amsterdam,52.40498501864558,4.899797973997264,100.00,Entire home/apt,0,0,0,0,0
34245670,6546899,Noord-West,Amsterdam,52.41505841969124,4.893954873714969,152.00,Entire home/apt,10,8,10,10,10
21406789,9366344,Noord-West,Amsterdam,52.41661305950058,4.883068345769144,81.00,Entire home/apt,10,9,10,9,10
13949901,1643260,Noord-West,Amsterdam,52.41041208702454,4.896873735261594,150.00,Entire home/apt,9,8,10,10,9
6971809,3819951,Noord-West,Amsterdam,52.40550396560155,4.901622414788666,110.00,Entire home/apt,10,10,10,10,10
37470201,7155847,Noord-West,Amsterdam,52.41669076675393,4.8997803842085546,95.00,Private room,10,10,10,10,10
5590622,10181725,Noord-West,Amsterdam,52.42005585534271,4.901109219455665,150.00,Private room,0,0,0,0,0
4615590,874340,Noord-West,Amsterdam,52.423647392541575,4.887019217701105,65.00,Private room,9,9,9,10,8
17417943,6392669,Noord-West,Amsterdam,52.41717668618394,4.904080161958212,140.00,Entire home/apt,10,10,10,10,9
21159380,8648283,Noord-West,Amsterdam,52.424980374666816,4.886368481037776,195.00,Entire home/apt,0,0,0,0,0
3188453,2097548,Noord-West,Amsterdam,52.404403447884995,4.920124036874879,150.00,Entire home/apt,9,9,9,9,9
24614297,7242227,Noord-West,Amsterdam,52.40420675024412,4.908045775477179,45.00,Private room,9,8,9,9,9
15822709,3113878,Noord-West,Amsterdam,52.41809333879134,4.90434340693492,75.00,Entire home/apt,10,9,10,10,9
5396559,984134,Noord-West,Amsterdam,52.41782159631563,4.905628972419358,146.00,Entire home/apt,0,0,0,0,0
26294656,6587565,Noord-West,Amsterdam,52.41849887855857,4.901440020570259,90.00,Entire home/apt,9,10,10,10,9
21230052,9405728,Noord-West,Amsterdam,52.40189179041906,4.900051450681524,55.00,Entire home/apt,7,8,10,10,8
4816887,6980918,Noord-West,Amsterdam,52.416964052365586,4.891143154293041,60.00,Entire home/apt,10,10,10,10,8
5590622,7669476,Noord-West,Amsterdam,52.41835967898771,4.90111444750572,60.00,Private room,9,9,10,10,9
6369942,5507178,Noord-West,Amsterdam,52.401284570259435,4.909118653194554,150.00,Entire home/apt,10,9,10,10,10
22858016,7178511,Noord-West,Amsterdam,52.41408914964575,4.891257485509886,70.00,Private room,8,8,9,8,8
4781137,5439959,Noord-West,Amsterdam,52.404104077379166,4.903408088294042,135.00,Private room,10,10,10,10,9
36610500,6982667,Noord-West,Amsterdam,52.39949814522081,4.921976779037379,190.00,Entire home/apt,10,10,10,10,10
12069700,2362966,Noord-West,Amsterdam,52.422232173421996,4.890982224849556,100.00,Entire home/apt,0,0,0,10,8
44276500,10293248,Noord-West,Amsterdam,52.41400236456247,4.889738567123603,150.00,Entire home/apt,0,0,0,0,0
5144689,8491286,Noord-West,Amsterdam,52.40615646638288,4.896728601206471,80.00,Private room,0,0,0,0,0
14760430,2888202,Noord-West,Amsterdam,52.40201336541028,4.916676068812221,130.00,Entire home/apt,10,9,10,10,9
5499179,1000252,Noord-West,Amsterdam,52.422130109952406,4.9004296152211175,150.00,Entire home/apt,9,8,10,10,9
14144043,7705953,Noord-West,Amsterdam,52.40721932445757,4.910214093396073,85.00,Entire home/apt,10,10,10,10,7
11944049,2531121,Noord-West,Amsterdam,52.40799333415077,4.90865365217189,49.00,Entire home/apt,8,8,10,9,9
48942656,9443999,Noord-West,Amsterdam,52.418653210169865,4.904576679988133,95.00,Entire home/apt,0,0,0,0,0
42564954,8921549,Noord-West,Amsterdam,52.41014588861747,4.906922813702854,40.00,Entire home/apt,10,8,10,10,7
51520774,10036375,Noord-West,Amsterdam,52.411658468884475,4.896451169523296,45.00,Private room,0,0,0,0,0
4781137,5812505,Noord-West,Amsterdam,52.40431926241908,4.902964155750268,215.00,Entire home/apt,10,10,10,10,10
3684584,3942085,Noord-West,Amsterdam,52.42181737590049,4.887597927621361,35.00,Private room,9,9,9,9,8
52355021,10267578,Noord-West,Amsterdam,52.42010226381024,4.887555253190257,47.00,Private room,0,0,0,0,0
3375589,667305,Noord-West,Amsterdam,52.42037138379263,4.894702949373991,110.00,Entire home/apt,10,10,10,10,10
6253175,2735075,Noord-West,Amsterdam,52.41449446865718,4.907188024286782,225.00,Entire home/apt,10,10,10,10,9
4781137,6963313,Noord-West,Amsterdam,52.405369405180025,4.903191837873579,65.00,Private room,10,10,10,10,9
16454384,7456687,Noord-West,Amsterdam,52.41185689221597,4.888463632893488,114.00,Entire home/apt,10,10,10,10,10
14870124,2910674,Noord-West,Amsterdam,52.41838840463818,4.903857461150053,175.00,Entire home/apt,10,10,10,10,10
4446371,6834902,Noord-West,Amsterdam,52.409430019996414,4.889236808964599,99.00,Entire home/apt,10,9,10,10,8
51129013,9949257,Noord-West,Amsterdam,52.41576682095078,4.884025152802023,85.00,Entire home/apt,0,0,0,0,0
40803322,9819440,Noord-West,Amsterdam,52.41965429511698,4.903805486335847,65.00,Private room,0,0,0,0,0
42858237,8116496,Noord-West,Amsterdam,52.42041310741893,4.895366084105756,80.00,Entire home/apt,10,10,8,10,8
30200994,8020016,Noord-West,Amsterdam,52.40112586207449,4.912017924223625,52.00,Private room,10,10,10,10,9
40803322,7759950,Noord-West,Amsterdam,52.418373195080136,4.9003622674023815,75.00,Private room,9,10,10,10,10
